"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Kranc et al. (2021b)","OHCA","y","PM2.5","0-24",1.18,0.72,1.94,NA,NA,35.4,"μg/m3","Israel","Asia","Magen David Adom","2 (2016-2017)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Kranc et al. (2021b)","OHCA","y","SO2","0-24",0.78,0.3,1.89,NA,NA,2.3,"ppb","Israel","Asia","Magen David Adom","2 (2016-2017)",20.6,"OR","Conditional logistic regression","General","EAC","male"
"Kranc et al. (2021b)","OHCA","y","NO2","0-24",1,0.66,1.51,NA,NA,36,"ppb","Israel","Asia","Magen David Adom","2 (2016-2017)",20.6,"OR","Conditional logistic regression","General","EAC","female"
"Kranc et al. (2021b)","OHCA","y","PM10","0-24",1.27,0.59,2.71,NA,NA,68.7,"μg/m3","Israel","Asia","Magen David Adom","2 (2016-2017)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Kranc et al. (2021b)","OHCA","y","PM2.5","0-24",1.15,0.65,2.03,NA,NA,35.4,"μg/m3","Israel","Asia","Magen David Adom","2 (2016-2017)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Kranc et al. (2021b)","OHCA","y","SO2","0-24",0.49,0.17,1.4,NA,NA,2.3,"ppb","Israel","Asia","Magen David Adom","2 (2016-2017)",20.6,"OR","Conditional logistic regression","General","EAC","female"
"Li, J. et al. (2019)","STEMI","y","PM10","0-24",1.029,0.9892,1.0688,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Li, J. et al. (2019)","STEMI","y","PM2.5","0-24",1.0355,0.9806,1.0925,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Li, J. et al. (2019)","STEMI","y","PM10","0-24",1.0774,1.0065,1.1538,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Li, J. et al. (2019)","STEMI","y","PM2.5","0-24",1.1097,1.014,1.2129,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","PM2.5","0-2",1.034,1.0121,1.0564,NA,NA,24,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","PM10","0-2",1.0433,1.0218,1.0653,NA,NA,35,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","NO2","0-2",1.0341,1.0078,1.0611,NA,NA,25,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","SO2","0-2",1.0239,1.0012,1.0472,NA,NA,5,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","O3","0-2",0.9879,0.9634,1.013,NA,NA,58,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","CO","0-2",1.0334,1.0034,1.0642,NA,NA,0.4,"mg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Lv et al. (2023)","Stroke","y","PM2.5","0-2",0.9999,0.977,1.0234,NA,NA,24,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","PM10","0-2",0.998,0.9758,1.0206,NA,NA,35,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","NO2","0-2",1.0323,1.0039,1.0615,NA,NA,25,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","SO2","0-2",1.0317,1.0072,1.0568,NA,NA,5,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","O3","0-2",0.9938,0.9671,1.0213,NA,NA,58,"μg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Lv et al. (2023)","Stroke","y","CO","0-2",1.0008,0.9696,1.0329,NA,NA,0.4,"mg/m3","China","Asia","Zhejiang Hospitals","6 (2016-2021)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Nirel et al. (2018)","Cardiac","y","PM10-2.5","1-6",1.0018,0.9971,1.0069,NA,NA,10,"μg/m3","Israel","Asia","SHL Telemedicine","12 (2002-2013)",NA,"OR","Conditional logistic regression",">= 50 years","EAC","female"
"Nirel et al. (2018)","Cardiac","y","PM10-2.5","1-6",1.0035,1.0008,1.0077,NA,NA,10,"μg/m3","Israel","Asia","SHL Telemedicine","12 (2002-2013)",NA,"OR","Conditional logistic regression",">= 50 years","EAC","male"
"Nirel et al. (2018)","Cardiac","y","PM2.5","1-6",1.0035,0.989,1.0208,NA,NA,10,"μg/m3","Israel","Asia","SHL Telemedicine","12 (2002-2013)",NA,"OR","Conditional logistic regression",">= 50 years","EAC","female"
"Nirel et al. (2018)","Cardiac","y","PM2.5","1-6",1.0104,0.9983,1.0237,NA,NA,10,"μg/m3","Israel","Asia","SHL Telemedicine","12 (2002-2013)",NA,"OR","Conditional logistic regression",">= 50 years","EAC","male"
"Rosenthal et al. (2008)","OHCA","y","PM2.5","0",1.0879,0.9589,1.243,NA,NA,10,"μg/m3","USA","America","Wishard Ambulance Service","2 (2005-2006)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Rosenthal et al. (2008)","OHCA","y","PM2.5","0",1.1813,0.985,1.4131,NA,NA,10,"μg/m3","USA","America","Wishard Ambulance Service","2 (2005-2006)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Rosenthal et al. (2008)","OHCA","y","PM2.5","0-23",1.0634,0.9521,1.1838,NA,NA,10,"μg/m3","USA","America","Wishard Ambulance Service","2 (2005-2006)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Rosenthal et al. (2008)","OHCA","y","PM2.5","0-23",0.9676,0.8537,1.1049,NA,NA,10,"μg/m3","USA","America","Wishard Ambulance Service","2 (2005-2006)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Rosenthal et al. (2013)","Myocardial infarction","n","PM2.5","0-24",1.008,0.752,1.344,NA,NA,7.7,"μg/m3","Finland","Europe","Helsinki Emergency Medical Services","3 (2005-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Rosenthal et al. (2013)","Myocardial infarction","n","PM2.5","0-24",1.24,1.064,1.424,NA,NA,7.7,"μg/m3","Finland","Europe","Helsinki Emergency Medical Services","3 (2005-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Sullivan et al. (2005)","Myocardial infarction","y","PM2.5","1",1.02,0.98,1.06,NA,NA,10,"μg/m3","USA","America","MITI Project","7 (1988-1994)",NA,"OR","Conditional logistic regression","General","HA","male"
"Sullivan et al. (2005)","Myocardial infarction","y","PM2.5","1-24",1.03,0.99,1.08,NA,NA,10,"μg/m3","USA","America","MITI Project","7 (1988-1994)",NA,"OR","Conditional logistic regression","General","HA","male"
"Sullivan et al. (2005)","Myocardial infarction","y","PM2.5","1",1,0.95,1.06,NA,NA,10,"μg/m3","USA","America","MITI Project","7 (1988-1994)",NA,"OR","Conditional logistic regression","General","HA","female"
"Sullivan et al. (2005)","Myocardial infarction","y","PM2.5","1-24",1,0.94,1.07,NA,NA,10,"μg/m3","USA","America","MITI Project","7 (1988-1994)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-1",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-1",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-3",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-3",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-6",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-6",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-12",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-12",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-24",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Acute ischemic stroke","y (combined)","PM2.5","0-24",NA,NA,NA,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-1",0.9664,0.8859,1.0497,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-1",1.0255,0.9772,1.0819,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-3",0.9772,0.8966,1.0685,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-3",1.0309,0.9745,1.0819,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-6",0.9933,0.9128,1.0819,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-6",1.0228,0.9745,1.0765,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-12",1.0013,0.9128,1.1034,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-12",0.9933,0.9369,1.055,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-24",0.9906,0.8886,1.106,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Non-wake-up stroke","fixed-effects","PM2.5","0-24",0.9584,0.8913,1.0282,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-1",0.9158,0.7474,1.1,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-1",0.9737,0.9,1.0579,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-3",0.9316,0.7684,1.1105,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-3",0.9895,0.9,1.0737,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-6",0.9263,0.7789,1.1053,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-6",1.0053,0.9211,1.0947,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-12",0.8895,0.7158,1.0737,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-12",1.0158,0.9158,1.1158,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-24",0.8368,0.6474,1.0632,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","female"
"Wang, Y. et al. (2022)","Wake-up stroke","fixed-effects","PM2.5","0-24",1.0368,0.9263,1.1526,NA,NA,10,"μg/m3","China","Asia","Shanghai General Hospital","4 (2014-2017)",NA,"OR","Conditional logistic regression","General","HA","male"
"Wu et al. (2020)","Cardiovascular","y","PM2.5","0-1",1.0247,0.9973,1.0521,NA,NA,10,"μg/m3","Taiwan","Asia","Chi Mei Medical Center","11 (2006-2016)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Wu et al. (2020)","Cardiovascular","y","PM2.5","0-1",1.0301,1.0123,1.0507,NA,NA,10,"μg/m3","Taiwan","Asia","Chi Mei Medical Center","11 (2006-2016)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Xue et al. (2023)","Arrhythmia","y","CO","0-24",1.023,1.009,1.037,NA,NA,1,"mg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","NO2","0-24",1.044,1.026,1.062,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","O3","0-24",1.004,0.987,1.022,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","PM10-2.5","0-24",1.016,1.004,1.029,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","PM2.5","0-24",1.017,1.003,1.031,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","SO2","0-24",1.005,0.99,1.019,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","female"
"Xue et al. (2023)","Arrhythmia","y","CO","0-24",1.023,1.01,1.037,NA,NA,1,"mg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Xue et al. (2023)","Arrhythmia","y","NO2","0-24",1.056,1.039,1.074,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Xue et al. (2023)","Arrhythmia","y","O3","0-24",1.014,0.996,1.031,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Xue et al. (2023)","Arrhythmia","y","PM10-2.5","0-24",1.03,1.018,1.042,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Xue et al. (2023)","Arrhythmia","y","PM2.5","0-24",1.02,1.007,1.034,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Xue et al. (2023)","Arrhythmia","y","SO2","0-24",1.029,1.015,1.044,NA,NA,10,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","male"
"Zhou et al. (2023)","Cardiovascular","y","PM2.5","0-24",1.016,1.001,1.03,NA,NA,24,"μg/m3","China","Asia","Shenzhen Ambulance Emergency Center","7 (2013-2019)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Zhou et al. (2023)","Cardiovascular","y","PM2.5","0-24",1.016,1.002,1.031,NA,NA,24,"μg/m3","China","Asia","Shenzhen Ambulance Emergency Center","7 (2013-2019)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Zhou et al. (2023)","Cardiovascular","y","PM10","0-24",1.019,1.005,1.034,NA,NA,34,"μg/m3","China","Asia","Shenzhen Ambulance Emergency Center","7 (2013-2019)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Zhou et al. (2023)","Cardiovascular","y","PM10","0-24",1.019,1.005,1.034,NA,NA,34,"μg/m3","China","Asia","Shenzhen Ambulance Emergency Center","7 (2013-2019)",NA,"OR","Conditional logistic regression","General","EAC","female"
